district,year,dem_votes,rep_votes,total_votes,dem_voteshare,winner,uncontested,pres_dem_voteshare
73,2020,16625,16486,33113,0.5020686739347084,D,false,0.5059
74,2020,18163,17119,35293,0.5146346300966197,D,false,0.4921
75,2020,12141,20108,32258,0.3763717527435055,R,false,0.3605
76,2020,35731,4779,40594,0.8802039710302015,D,false,0.9038
77,2020,30741,0,31113,0.9880435830681709,D,true,0.8944
78,2020,34576,0,35296,0.9796010879419764,D,true,0.815
79,2020,29719,14507,44267,0.6713578964013825,D,false,0.6884
80,2020,26526,14590,41138,0.6448052895133454,D,false,0.6725
81,2020,18914,14314,33241,0.5689961192503235,D,false,0.5533
82,2020,15925,17205,34249,0.4649770796227627,R,false,0.4882
83,2020,11748,27019,38802,0.3027678985619298,R,false,0.3337
84,2020,0,25031,26025,0.0,R,true,0.4659
85,2020,13515,16599,30132,0.44852648347272,R,false,0.4844
86,2020,0,28267,28853,0.0,R,true,0.3834
87,2020,8887,21595,30490,0.291472613971794,R,false,0.3264
88,2020,15673,17214,32906,0.4762961162098098,R,false,0.4882
89,2020,10374,22823,33207,0.3124040112024573,R,false,0.3432
90,2020,12756,8429,21210,0.6014144271570014,D,false,0.5921
91,2020,18758,11530,30322,0.6186267396609723,D,false,0.6284
92,2020,12220,17301,29534,0.41376041172885486,R,false,0.4137
93,2020,13773,22179,35973,0.3828704861979818,R,false,0.4167
94,2020,19186,16526,36590,0.5243509155506969,D,false,0.4968
95,2020,19684,10271,29992,0.6563083488930381,D,false,0.6564
96,2020,13059,16812,29876,0.43710670772526444,R,false,0.4459
97,2020,12770,18556,31364,0.40715469965565615,R,false,0.4454
98,2020,0,28221,29114,0.0,R,true,0.4086
99,2020,0,31741,32502,0.0,R,true,0.3467
